**************************************************************************************************************


SPECIES :  I / I_2^+
PROCESS:  I + I_2^+ -> I2 + I^+, CHARGE_EXCHANGE
PARAM.:   delta E = 1.14
COMMENT:  Same approach as Gudmunsson for O2 and Cl2 with a different threshold at 1.14eV. The reference frame: target rest frame (target is the atom in this case))
UPDATED:  08/31/23
COLUMNS: Energy (eV) | Cross section (m2)
-----------------------------
 1.000000e-04    0.000000e+00
 1.010421e-04    0.000000e+00
 1.020950e-04    0.000000e+00
 1.031589e-04    0.000000e+00
 1.042339e-04    0.000000e+00
 1.053201e-04    0.000000e+00
 1.064176e-04    0.000000e+00
 1.075266e-04    0.000000e+00
 1.086471e-04    0.000000e+00
 1.097793e-04    0.000000e+00
 1.109232e-04    0.000000e+00
 1.120791e-04    0.000000e+00
 1.132471e-04    0.000000e+00
 1.144272e-04    0.000000e+00
 1.156196e-04    0.000000e+00
 1.168245e-04    0.000000e+00
 1.180419e-04    0.000000e+00
 1.192719e-04    0.000000e+00
 1.205148e-04    0.000000e+00
 1.217707e-04    0.000000e+00
 1.230396e-04    0.000000e+00
 1.243218e-04    0.000000e+00
 1.256173e-04    0.000000e+00
 1.269263e-04    0.000000e+00
 1.282490e-04    0.000000e+00
 1.295855e-04    0.000000e+00
 1.309358e-04    0.000000e+00
 1.323003e-04    0.000000e+00
 1.336790e-04    0.000000e+00
 1.350720e-04    0.000000e+00
 1.364795e-04    0.000000e+00
 1.379018e-04    0.000000e+00
 1.393388e-04    0.000000e+00
 1.407908e-04    0.000000e+00
 1.422579e-04    0.000000e+00
 1.437404e-04    0.000000e+00
 1.452383e-04    0.000000e+00
 1.467518e-04    0.000000e+00
 1.482810e-04    0.000000e+00
 1.498262e-04    0.000000e+00
 1.513875e-04    0.000000e+00
 1.529651e-04    0.000000e+00
 1.545591e-04    0.000000e+00
 1.561697e-04    0.000000e+00
 1.577971e-04    0.000000e+00
 1.594415e-04    0.000000e+00
 1.611030e-04    0.000000e+00
 1.627818e-04    0.000000e+00
 1.644781e-04    0.000000e+00
 1.661921e-04    0.000000e+00
 1.679239e-04    0.000000e+00
 1.696738e-04    0.000000e+00
 1.714419e-04    0.000000e+00
 1.732285e-04    0.000000e+00
 1.750337e-04    0.000000e+00
 1.768576e-04    0.000000e+00
 1.787006e-04    0.000000e+00
 1.805628e-04    0.000000e+00
 1.824444e-04    0.000000e+00
 1.843456e-04    0.000000e+00
 1.862666e-04    0.000000e+00
 1.882077e-04    0.000000e+00
 1.901689e-04    0.000000e+00
 1.921506e-04    0.000000e+00
 1.941530e-04    0.000000e+00
 1.961762e-04    0.000000e+00
 1.982205e-04    0.000000e+00
 2.002861e-04    0.000000e+00
 2.023732e-04    0.000000e+00
 2.044821e-04    0.000000e+00
 2.066130e-04    0.000000e+00
 2.087660e-04    0.000000e+00
 2.109415e-04    0.000000e+00
 2.131397e-04    0.000000e+00
 2.153608e-04    0.000000e+00
 2.176050e-04    0.000000e+00
 2.198726e-04    0.000000e+00
 2.221638e-04    0.000000e+00
 2.244789e-04    0.000000e+00
 2.268182e-04    0.000000e+00
 2.291818e-04    0.000000e+00
 2.315700e-04    0.000000e+00
 2.339832e-04    0.000000e+00
 2.364214e-04    0.000000e+00
 2.388851e-04    0.000000e+00
 2.413745e-04    0.000000e+00
 2.438898e-04    0.000000e+00
 2.464313e-04    0.000000e+00
 2.489993e-04    0.000000e+00
 2.515940e-04    0.000000e+00
 2.542158e-04    0.000000e+00
 2.568650e-04    0.000000e+00
 2.595417e-04    0.000000e+00
 2.622463e-04    0.000000e+00
 2.649791e-04    0.000000e+00
 2.677404e-04    0.000000e+00
 2.705304e-04    0.000000e+00
 2.733495e-04    0.000000e+00
 2.761981e-04    0.000000e+00
 2.790762e-04    0.000000e+00
 2.819844e-04    0.000000e+00
 2.849229e-04    0.000000e+00
 2.878920e-04    0.000000e+00
 2.908921e-04    0.000000e+00
 2.939234e-04    0.000000e+00
 2.969863e-04    0.000000e+00
 3.000811e-04    0.000000e+00
 3.032081e-04    0.000000e+00
 3.063678e-04    0.000000e+00
 3.095604e-04    0.000000e+00
 3.127862e-04    0.000000e+00
 3.160457e-04    0.000000e+00
 3.193391e-04    0.000000e+00
 3.226669e-04    0.000000e+00
 3.260293e-04    0.000000e+00
 3.294268e-04    0.000000e+00
 3.328596e-04    0.000000e+00
 3.363283e-04    0.000000e+00
 3.398331e-04    0.000000e+00
 3.433744e-04    0.000000e+00
 3.469526e-04    0.000000e+00
 3.505681e-04    0.000000e+00
 3.542213e-04    0.000000e+00
 3.579125e-04    0.000000e+00
 3.616422e-04    0.000000e+00
 3.654108e-04    0.000000e+00
 3.692187e-04    0.000000e+00
 3.730662e-04    0.000000e+00
 3.769538e-04    0.000000e+00
 3.808820e-04    0.000000e+00
 3.848510e-04    0.000000e+00
 3.888615e-04    0.000000e+00
 3.929137e-04    0.000000e+00
 3.970081e-04    0.000000e+00
 4.011452e-04    0.000000e+00
 4.053255e-04    0.000000e+00
 4.095493e-04    0.000000e+00
 4.138171e-04    0.000000e+00
 4.181294e-04    0.000000e+00
 4.224866e-04    0.000000e+00
 4.268892e-04    0.000000e+00
 4.313377e-04    0.000000e+00
 4.358325e-04    0.000000e+00
 4.403742e-04    0.000000e+00
 4.449633e-04    0.000000e+00
 4.496001e-04    0.000000e+00
 4.542853e-04    0.000000e+00
 4.590193e-04    0.000000e+00
 4.638026e-04    0.000000e+00
 4.686358e-04    0.000000e+00
 4.735193e-04    0.000000e+00
 4.784537e-04    0.000000e+00
 4.834395e-04    0.000000e+00
 4.884773e-04    0.000000e+00
 4.935676e-04    0.000000e+00
 4.987110e-04    0.000000e+00
 5.039079e-04    0.000000e+00
 5.091590e-04    0.000000e+00
 5.144648e-04    0.000000e+00
 5.198259e-04    0.000000e+00
 5.252429e-04    0.000000e+00
 5.307163e-04    0.000000e+00
 5.362468e-04    0.000000e+00
 5.418348e-04    0.000000e+00
 5.474812e-04    0.000000e+00
 5.531863e-04    0.000000e+00
 5.589509e-04    0.000000e+00
 5.647756e-04    0.000000e+00
 5.706610e-04    0.000000e+00
 5.766077e-04    0.000000e+00
 5.826164e-04    0.000000e+00
 5.886877e-04    0.000000e+00
 5.948222e-04    0.000000e+00
 6.010207e-04    0.000000e+00
 6.072838e-04    0.000000e+00
 6.136121e-04    0.000000e+00
 6.200064e-04    0.000000e+00
 6.264674e-04    0.000000e+00
 6.329956e-04    0.000000e+00
 6.395919e-04    0.000000e+00
 6.462569e-04    0.000000e+00
 6.529914e-04    0.000000e+00
 6.597960e-04    0.000000e+00
 6.666716e-04    0.000000e+00
 6.736188e-04    0.000000e+00
 6.806384e-04    0.000000e+00
 6.877312e-04    0.000000e+00
 6.948978e-04    0.000000e+00
 7.021392e-04    0.000000e+00
 7.094560e-04    0.000000e+00
 7.168490e-04    0.000000e+00
 7.243191e-04    0.000000e+00
 7.318671e-04    0.000000e+00
 7.394937e-04    0.000000e+00
 7.471998e-04    0.000000e+00
 7.549861e-04    0.000000e+00
 7.628536e-04    0.000000e+00
 7.708031e-04    0.000000e+00
 7.788355e-04    0.000000e+00
 7.869515e-04    0.000000e+00
 7.951521e-04    0.000000e+00
 8.034382e-04    0.000000e+00
 8.118106e-04    0.000000e+00
 8.202703e-04    0.000000e+00
 8.288181e-04    0.000000e+00
 8.374550e-04    0.000000e+00
 8.461819e-04    0.000000e+00
 8.549997e-04    0.000000e+00
 8.639095e-04    0.000000e+00
 8.729120e-04    0.000000e+00
 8.820084e-04    0.000000e+00
 8.911996e-04    0.000000e+00
 9.004866e-04    0.000000e+00
 9.098703e-04    0.000000e+00
 9.193518e-04    0.000000e+00
 9.289321e-04    0.000000e+00
 9.386123e-04    0.000000e+00
 9.483933e-04    0.000000e+00
 9.582763e-04    0.000000e+00
 9.682622e-04    0.000000e+00
 9.783522e-04    0.000000e+00
 9.885474e-04    0.000000e+00
 9.988488e-04    0.000000e+00
 1.009258e-03    0.000000e+00
 1.019775e-03    0.000000e+00
 1.030402e-03    0.000000e+00
 1.041139e-03    0.000000e+00
 1.051989e-03    0.000000e+00
 1.062951e-03    0.000000e+00
 1.074028e-03    0.000000e+00
 1.085220e-03    0.000000e+00
 1.096529e-03    0.000000e+00
 1.107955e-03    0.000000e+00
 1.119501e-03    0.000000e+00
 1.131167e-03    0.000000e+00
 1.142955e-03    0.000000e+00
 1.154865e-03    0.000000e+00
 1.166900e-03    0.000000e+00
 1.179060e-03    0.000000e+00
 1.191346e-03    0.000000e+00
 1.203761e-03    0.000000e+00
 1.216305e-03    0.000000e+00
 1.228980e-03    0.000000e+00
 1.241787e-03    0.000000e+00
 1.254727e-03    0.000000e+00
 1.267802e-03    0.000000e+00
 1.281014e-03    0.000000e+00
 1.294363e-03    0.000000e+00
 1.307851e-03    0.000000e+00
 1.321480e-03    0.000000e+00
 1.335251e-03    0.000000e+00
 1.349165e-03    0.000000e+00
 1.363224e-03    0.000000e+00
 1.377430e-03    0.000000e+00
 1.391784e-03    0.000000e+00
 1.406287e-03    0.000000e+00
 1.420942e-03    0.000000e+00
 1.435749e-03    0.000000e+00
 1.450711e-03    0.000000e+00
 1.465828e-03    0.000000e+00
 1.481103e-03    0.000000e+00
 1.496537e-03    0.000000e+00
 1.512132e-03    0.000000e+00
 1.527890e-03    0.000000e+00
 1.543812e-03    0.000000e+00
 1.559899e-03    0.000000e+00
 1.576155e-03    0.000000e+00
 1.592579e-03    0.000000e+00
 1.609175e-03    0.000000e+00
 1.625944e-03    0.000000e+00
 1.642887e-03    0.000000e+00
 1.660008e-03    0.000000e+00
 1.677306e-03    0.000000e+00
 1.694785e-03    0.000000e+00
 1.712446e-03    0.000000e+00
 1.730291e-03    0.000000e+00
